SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,HOME_AWAY,POINTS_THRESHOLD,REBOUNDS_THRESHOLD,BLOCKS_THRESHOLD,ASSISTS_THRESHOLD,ROLLING_PTS_AVG,ROLLING_REB_AVG,ROLLING_AST_AVG
22024,203991,0022400012,"NOV 15, 2024",ATL vs. WAS,W,22,4,8,0.5,0,0,0.0,2,4,0.5,6,7,13,1,0,0,1,3,10,3,1,Clint Capela,Home,1,1,0,0,12.8,11.2,1.8
22024,203991,0022400001,"NOV 12, 2024",ATL @ BOS,W,17,8,11,0.727,0,0,0.0,2,4,0.5,6,3,9,1,2,0,0,0,18,-11,1,Clint Capela,Away,1,1,0,0,12.2,10.8,1.4
22024,203991,0022400198,"NOV 09, 2024",ATL vs. CHI,L,26,8,14,0.571,0,0,0.0,4,4,1.0,5,4,9,1,0,1,1,2,20,-2,1,Clint Capela,Home,1,1,1,0,14.0,10.6,1.4
22024,203991,0022400185,"NOV 08, 2024",ATL @ DET,L,19,3,10,0.3,0,0,0.0,1,4,0.25,7,5,12,2,0,1,2,1,7,-4,1,Clint Capela,Away,0,1,1,0,12.6,10.2,1.6
22024,203991,0022400171,"NOV 06, 2024",ATL vs. NYK,W,28,8,8,1.0,0,0,0.0,2,2,1.0,4,2,6,1,0,0,1,3,18,0,1,Clint Capela,Home,1,1,0,0,14.6,9.8,1.2
22024,203991,0022400157,"NOV 04, 2024",ATL vs. BOS,L,17,1,3,0.333,0,0,0.0,0,0,0.0,0,5,5,1,0,0,1,1,2,-17,1,Clint Capela,Home,0,1,0,0,13.0,8.2,1.2
22024,203991,0022400152,"NOV 03, 2024",ATL @ NOP,W,21,4,5,0.8,0,0,0.0,0,0,0.0,0,4,4,0,0,1,0,1,8,27,1,Clint Capela,Away,0,0,1,0,11.0,7.2,1.0
22024,203991,0022400135,"NOV 01, 2024",ATL vs. SAC,L,29,7,9,0.778,0,0,0.0,1,1,1.0,3,7,10,1,0,0,0,4,15,-4,1,Clint Capela,Home,1,1,0,0,10.0,7.4,1.0
22024,203991,0022400121,"OCT 30, 2024",ATL @ WAS,L,24,5,7,0.714,0,0,0.0,2,2,1.0,0,5,5,0,0,0,2,2,12,-15,1,Clint Capela,Away,1,1,0,0,11.0,6.0,0.6
22024,203991,0022400103,"OCT 28, 2024",ATL vs. WAS,L,25,6,6,1.0,0,0,0.0,4,6,0.667,1,3,4,2,1,1,2,4,16,6,1,Clint Capela,Home,1,0,1,0,10.6,5.6,0.8
22024,203991,0022400100,"OCT 27, 2024",ATL @ OKC,L,22,3,8,0.375,0,0,0.0,0,1,0.0,5,5,10,2,1,1,0,1,6,-5,1,Clint Capela,Away,0,1,1,0,11.4,6.6,1.0
22024,203991,0022400079,"OCT 25, 2024",ATL vs. CHA,W,22,2,2,1.0,0,0,0.0,2,2,1.0,1,6,7,1,1,2,2,3,6,4,1,Clint Capela,Home,0,1,1,0,11.0,7.2,1.2
22024,203991,0022400064,"OCT 23, 2024",ATL vs. BKN,W,20,3,5,0.6,0,0,0.0,0,0,0.0,1,6,7,1,1,1,1,0,6,0,1,Clint Capela,Home,0,1,1,0,9.2,6.6,1.2
22024,1642382,0022400466,"JAN 02, 2025",OKC vs. LAC,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,-2,1,Branden Carlson,Home,0,0,0,0,0.0,0.0,0.0
22024,1642382,0022400440,"DEC 29, 2024",OKC vs. MEM,W,4,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,-3,1,Branden Carlson,Home,0,0,0,0,0.0,0.0,0.0
22024,1642382,0022401203,"DEC 10, 2024",OKC vs. DAL,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,1,Branden Carlson,Home,0,0,0,0,0.0,0.0,0.0
22024,1642382,0022400328,"DEC 05, 2024",OKC @ TOR,W,6,0,1,0.0,0,1,0.0,0,0,0.0,1,1,2,2,0,0,0,0,0,10,1,Branden Carlson,Away,0,0,0,0,0.0,0.0,0.0
22024,1642382,0022400055,"DEC 03, 2024",OKC vs. UTA,W,8,0,5,0.0,0,4,0.0,2,2,1.0,0,2,2,0,1,1,0,1,2,2,1,Branden Carlson,Home,0,0,1,0,0.4,1.0,0.6
22024,1642382,0022400048,"NOV 29, 2024",OKC @ LAL,W,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,1,Branden Carlson,Away,0,0,0,0,0.4,1.0,0.4
22024,1642382,0022400285,"NOV 25, 2024",OKC @ SAC,W,3,1,1,1.0,0,0,0.0,0,0,0.0,2,2,4,0,0,0,0,0,2,2,1,Branden Carlson,Away,0,0,0,0,0.8,1.6,0.4
22024,1642267,0022400472,"JAN 03, 2025",WAS @ NOP,L,36,4,8,0.5,0,3,0.0,0,0,0.0,0,3,3,6,0,0,2,1,8,-27,1,Carlton Carrington,Away,0,0,0,1,0.0,0.0,0.0
22024,1642267,0022400456,"JAN 01, 2025",WAS vs. CHI,W,31,4,5,0.8,3,3,1.0,0,0,0.0,0,4,4,6,1,1,0,1,11,12,1,Carlton Carrington,Home,1,0,1,1,0.0,0.0,0.0
22024,1642267,0022400443,"DEC 30, 2024",WAS vs. NYK,L,28,2,6,0.333,2,5,0.4,0,0,0.0,0,5,5,5,1,0,0,2,6,0,1,Carlton Carrington,Home,0,1,0,1,0.0,0.0,0.0
22024,1642267,0022400429,"DEC 28, 2024",WAS vs. NYK,L,43,8,13,0.615,1,4,0.25,0,0,0.0,0,5,5,5,0,0,1,2,17,3,1,Carlton Carrington,Home,1,1,0,1,0.0,0.0,0.0
22024,1642267,0022400412,"DEC 26, 2024",WAS vs. CHA,W,28,3,6,0.5,1,2,0.5,0,0,0.0,0,1,1,3,0,0,1,4,7,-7,1,Carlton Carrington,Home,0,0,0,1,9.8,3.6,5.0
22024,1642267,0022400400,"DEC 23, 2024",WAS @ OKC,L,29,4,11,0.364,4,8,0.5,2,2,1.0,0,2,2,3,0,0,4,3,14,-6,1,Carlton Carrington,Away,1,0,0,1,11.0,3.4,4.4
22024,1642267,0022400382,"DEC 21, 2024",WAS @ MIL,L,32,3,6,0.5,1,2,0.5,0,0,0.0,0,2,2,1,0,0,1,1,7,-4,1,Carlton Carrington,Away,0,0,0,0,10.2,3.0,3.4
22024,1642267,0022400362,"DEC 19, 2024",WAS vs. CHA,W,34,1,4,0.25,0,2,0.0,0,0,0.0,2,7,9,4,0,0,2,4,2,3,1,Carlton Carrington,Home,0,1,0,1,9.4,3.8,3.2
22024,1642267,0022401217,"DEC 15, 2024",WAS vs. BOS,L,40,4,9,0.444,3,5,0.6,0,0,0.0,2,8,10,2,1,0,3,2,11,-15,1,Carlton Carrington,Home,1,1,0,0,8.2,4.8,2.6
22024,1642267,0022401208,"DEC 13, 2024",WAS @ CLE,L,28,1,6,0.167,0,4,0.0,0,0,0.0,1,6,7,3,0,1,1,5,2,-20,1,Carlton Carrington,Away,0,1,1,1,7.2,6.0,2.6
22024,1642267,0022400353,"DEC 08, 2024",WAS vs. MEM,L,33,3,12,0.25,1,7,0.143,0,0,0.0,0,5,5,2,1,0,3,3,7,-22,1,Carlton Carrington,Home,0,1,0,0,5.8,6.6,2.4
22024,1642267,0022400341,"DEC 07, 2024",WAS vs. DEN,W,34,4,13,0.308,2,8,0.25,0,0,0.0,1,3,4,6,0,0,0,3,10,-3,1,Carlton Carrington,Home,1,0,0,1,6.4,7.0,3.4
22024,1642267,0022400326,"DEC 05, 2024",WAS vs. DAL,L,28,6,13,0.462,3,9,0.333,0,0,0.0,0,2,2,1,0,0,1,5,15,-26,1,Carlton Carrington,Home,1,0,0,0,9.0,5.6,2.8
22024,1642267,0022400051,"DEC 03, 2024",WAS @ CLE,L,36,5,12,0.417,2,6,0.333,1,1,1.0,0,7,7,2,0,0,5,3,13,-20,1,Carlton Carrington,Away,1,1,0,0,9.4,5.0,2.8
22024,1642267,0022400302,"NOV 30, 2024",WAS @ MIL,L,16,1,5,0.2,1,3,0.333,0,0,0.0,0,3,3,2,1,0,1,2,3,-3,1,Carlton Carrington,Away,0,0,0,0,9.6,4.2,2.6
22024,1642267,0022400291,"NOV 27, 2024",WAS vs. LAC,L,19,1,4,0.25,0,3,0.0,1,2,0.5,0,2,2,4,0,0,1,4,3,-18,1,Carlton Carrington,Home,0,0,0,1,8.8,3.6,3.0
22024,1642267,0022400035,"NOV 26, 2024",WAS vs. CHI,L,25,4,9,0.444,2,4,0.5,0,0,0.0,0,3,3,4,2,0,3,3,10,-8,1,Carlton Carrington,Home,1,0,0,1,8.8,3.4,2.6
22024,1642267,0022400272,"NOV 24, 2024",WAS @ IND,L,22,2,7,0.286,1,5,0.2,0,0,0.0,1,3,4,2,2,1,3,2,5,-5,1,Carlton Carrington,Away,0,0,1,0,6.8,3.8,2.8
22024,1642267,0022400028,"NOV 22, 2024",WAS vs. BOS,L,22,0,5,0.0,0,2,0.0,2,2,1.0,0,1,1,2,0,1,2,0,2,-2,1,Carlton Carrington,Home,0,0,1,0,4.6,2.6,2.8
22024,1642267,0022400246,"NOV 18, 2024",WAS @ NYK,L,32,7,16,0.438,4,8,0.5,0,0,0.0,0,4,4,2,0,0,2,3,18,-22,1,Carlton Carrington,Away,1,0,0,0,7.6,2.8,2.8
22024,1642267,0022400237,"NOV 17, 2024",WAS vs. DET,L,25,4,7,0.571,3,6,0.5,0,0,0.0,0,3,3,3,2,0,2,1,11,-19,1,Carlton Carrington,Home,1,0,0,1,9.2,3.0,2.6
22024,1642267,0022400012,"NOV 15, 2024",WAS @ ATL,L,37,3,8,0.375,1,4,0.25,0,2,0.0,2,3,5,9,1,0,0,5,7,-8,1,Carlton Carrington,Away,0,1,0,1,8.6,3.4,3.6
22024,1642267,0022400224,"NOV 13, 2024",WAS @ SAS,L,30,5,11,0.455,3,8,0.375,0,0,0.0,0,5,5,5,0,0,6,4,13,-20,1,Carlton Carrington,Away,1,1,0,1,10.2,3.6,4.2
22024,1642267,0022400213,"NOV 11, 2024",WAS @ HOU,L,31,3,6,0.5,2,2,1.0,2,2,1.0,0,2,2,6,4,2,1,2,10,-12,1,Carlton Carrington,Away,1,0,1,1,11.8,3.8,5.0
22024,1642267,0022400204,"NOV 10, 2024",WAS @ ORL,L,31,2,5,0.4,0,1,0.0,0,0,0.0,0,2,2,3,0,0,1,2,4,-22,1,Carlton Carrington,Away,0,0,0,1,9.0,3.4,5.2
22024,1642267,0022400191,"NOV 08, 2024",WAS @ MEM,L,33,4,11,0.364,1,5,0.2,1,2,0.5,1,9,10,8,4,0,4,3,10,-16,1,Carlton Carrington,Away,1,1,0,1,8.8,4.8,6.2
22024,1642267,0022400155,"NOV 04, 2024",WAS vs. GSW,L,33,7,12,0.583,1,3,0.333,1,1,1.0,0,8,8,7,0,0,1,5,16,-15,1,Carlton Carrington,Home,1,1,0,1,10.6,5.4,5.8
22024,1642267,0022400147,"NOV 02, 2024",WAS vs. MIA,L,37,2,9,0.222,0,5,0.0,0,0,0.0,0,4,4,8,4,0,0,3,4,-12,1,Carlton Carrington,Home,0,0,0,1,8.8,5.2,6.4
22024,1642267,0022400121,"OCT 30, 2024",WAS vs. ATL,W,33,5,8,0.625,1,2,0.5,5,5,1.0,0,6,6,6,0,0,2,3,16,3,1,Carlton Carrington,Home,1,1,0,1,10.0,6.0,6.4
22024,1642267,0022400103,"OCT 28, 2024",WAS @ ATL,W,21,4,5,0.8,3,4,0.75,2,2,1.0,0,3,3,2,1,0,1,3,13,-3,1,Carlton Carrington,Away,1,0,0,0,11.8,6.2,6.2
22024,1642267,0022400090,"OCT 26, 2024",WAS vs. CLE,L,25,2,8,0.25,2,4,0.5,4,4,1.0,0,2,2,4,0,0,2,5,10,-15,1,Carlton Carrington,Home,1,0,0,1,11.8,4.6,5.4
22024,1642267,0022400073,"OCT 24, 2024",WAS vs. BOS,L,26,1,6,0.167,0,2,0.0,1,2,0.5,0,3,3,2,0,2,2,3,3,-23,1,Carlton Carrington,Home,0,0,1,0,9.2,3.6,4.4
22024,1628418,0022400463,"JAN 02, 2025",IND @ MIA,W,7,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0,1,0,0,0,1,3,1,1,Thomas Bryant,Away,0,0,0,0,0.0,0.0,0.0
22024,1628418,0022400450,"DEC 31, 2024",IND vs. MIL,L,5,1,1,1.0,0,0,0.0,1,1,1.0,1,1,2,0,0,0,0,1,3,6,1,Thomas Bryant,Home,0,0,0,0,0.0,0.0,0.0
22024,1628418,0022400437,"DEC 29, 2024",IND @ BOS,W,15,4,6,0.667,0,1,0.0,0,0,0.0,3,0,3,0,1,0,0,2,8,-3,1,Thomas Bryant,Away,0,0,0,0,0.0,0.0,0.0
22024,1628418,0022400420,"DEC 27, 2024",IND @ BOS,L,19,5,7,0.714,2,4,0.5,0,0,0.0,1,6,7,0,1,1,2,0,12,-11,1,Thomas Bryant,Away,1,1,1,0,0.0,0.0,0.0
22024,1628418,0022400410,"DEC 26, 2024",IND vs. OKC,L,10,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,4,1,Thomas Bryant,Home,0,0,0,0,5.2,2.6,0.2
22024,1628418,0022400403,"DEC 23, 2024",IND @ GSW,W,10,0,3,0.0,0,2,0.0,2,2,1.0,2,1,3,1,1,0,0,1,2,-10,1,Thomas Bryant,Away,0,0,0,0,5.0,3.2,0.2
22024,1628418,0022400389,"DEC 22, 2024",IND @ SAC,W,14,3,4,0.75,2,3,0.667,0,0,0.0,0,4,4,1,1,1,0,1,8,19,1,Thomas Bryant,Away,0,0,1,0,6.0,3.6,0.4
22024,1628418,0022400369,"DEC 19, 2024",IND @ PHX,W,5,0,2,0.0,0,0,0.0,0,0,0.0,2,2,4,1,0,0,0,1,0,-2,1,Thomas Bryant,Away,0,0,0,0,4.4,3.8,0.6
22024,1628418,0022401216,"DEC 15, 2024",IND vs. NOP,W,11,3,3,1.0,1,1,1.0,0,0,0.0,0,2,2,0,0,1,0,0,7,-6,1,Thomas Bryant,Home,0,0,1,0,3.4,2.8,0.6
22024,1628418,0022400351,"DEC 08, 2024",MIA vs. CLE,W,7,0,0,0.0,0,0,0.0,2,2,1.0,0,1,1,0,0,2,0,1,2,0,1,Thomas Bryant,Home,0,0,1,0,3.8,2.8,0.6
22024,1628418,0022400321,"DEC 04, 2024",MIA vs. LAL,W,9,2,6,0.333,2,5,0.4,2,2,1.0,0,4,4,0,0,2,0,0,8,8,1,Thomas Bryant,Home,0,0,1,0,5.0,3.0,0.4
22024,1628418,0022400316,"DEC 02, 2024",MIA @ BOS,L,10,0,1,0.0,0,1,0.0,2,2,1.0,0,2,2,0,0,0,1,1,2,2,1,Thomas Bryant,Away,0,0,0,0,3.8,2.6,0.2
22024,1628418,0022400194,"NOV 08, 2024",MIA @ DEN,L,7,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,1,0,0,0,0,1,Thomas Bryant,Away,0,0,1,0,3.8,2.2,0.0
22024,1628418,0022400159,"NOV 04, 2024",MIA vs. SAC,L,12,1,3,0.333,0,1,0.0,0,0,0.0,1,4,5,0,0,0,0,0,2,2,1,Thomas Bryant,Home,0,1,0,0,2.8,2.8,0.0
22024,1628418,0022400147,"NOV 02, 2024",MIA @ WAS,W,14,1,4,0.25,0,1,0.0,2,2,1.0,3,6,9,0,0,2,0,1,4,-5,1,Thomas Bryant,Away,0,1,1,0,3.2,4.4,0.0
22024,1628418,0022400122,"OCT 30, 2024",MIA vs. NYK,L,15,2,3,0.667,2,3,0.667,0,0,0.0,1,2,3,0,0,0,0,2,6,0,1,Thomas Bryant,Home,0,0,0,0,2.8,4.2,0.0
22024,1628418,0022400105,"OCT 28, 2024",MIA vs. DET,W,13,1,4,0.25,1,4,0.25,1,1,1.0,0,2,2,0,0,0,0,2,4,11,1,Thomas Bryant,Home,0,0,0,0,3.2,4.2,0.0
22024,1628418,0022400088,"OCT 26, 2024",MIA @ CHA,W,12,3,4,0.75,0,0,0.0,0,0,0.0,1,0,1,2,1,1,0,2,6,4,1,Thomas Bryant,Away,0,0,1,0,4.4,4.0,0.4
22024,1628418,0022400065,"OCT 23, 2024",MIA vs. ORL,L,16,2,2,1.0,1,1,1.0,2,2,1.0,0,3,3,2,0,1,1,0,7,-2,1,Thomas Bryant,Home,0,0,1,0,5.4,3.6,0.8
22024,1628975,0022400456,"JAN 01, 2025",CHI @ WAS,L,4,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,1,0,0,0,0,3,0,1,Jevon Carter,Away,0,0,0,0,0.0,0.0,0.0
22024,1628975,0022400430,"DEC 28, 2024",CHI vs. MIL,W,6,1,2,0.5,1,2,0.5,2,2,1.0,0,1,1,1,0,0,0,0,5,-4,1,Jevon Carter,Home,0,0,0,0,0.0,0.0,0.0
22024,1628975,0022400413,"DEC 26, 2024",CHI @ ATL,L,36,9,15,0.6,7,11,0.636,1,2,0.5,0,4,4,5,1,0,2,3,26,7,1,Jevon Carter,Away,1,0,0,1,0.0,0.0,0.0
22024,1628975,0022400398,"DEC 23, 2024",CHI vs. MIL,L,4,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,1,1,Jevon Carter,Home,0,0,0,0,0.0,0.0,0.0
22024,1628975,0022400381,"DEC 21, 2024",CHI vs. BOS,L,4,2,3,0.667,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,0,4,0,1,Jevon Carter,Home,0,0,0,0,7.6,1.2,1.6
22024,1628975,0022400331,"DEC 05, 2024",CHI @ SAS,W,1,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-2,1,Jevon Carter,Away,0,0,0,0,7.0,1.4,1.4
22024,1628975,0022400317,"DEC 02, 2024",CHI vs. BKN,W,4,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,0,1,Jevon Carter,Home,0,0,0,0,6.0,1.4,1.2
22024,1628975,0022400289,"NOV 27, 2024",CHI @ ORL,L,4,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,2,8,1,Jevon Carter,Away,0,0,0,0,1.2,0.6,0.4
22024,1628975,0022400035,"NOV 26, 2024",CHI @ WAS,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,-5,1,Jevon Carter,Away,0,0,0,0,1.2,0.8,0.4
22024,1628975,0022400266,"NOV 23, 2024",CHI vs. MEM,L,5,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0,1,0,0,1,0,3,9,1,Jevon Carter,Home,0,0,0,0,1.0,0.6,0.4
22024,1628975,0022400253,"NOV 20, 2024",CHI @ MIL,L,2,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,Jevon Carter,Away,0,0,0,0,1.0,0.4,0.4
